Branch Name,Branch Number,Address1,Branch City,Branch Province,PostalCode,Branch Country,Region Name,Latitude,Longitude,BranchJoinKey,Telephone1,Division Name,LOBName
Adelaide,20,23/25 Matthews Rd,Gepps Cross,SA,5094,AU,Australia,'-34.8361869211445,138.606048795119,207,,South Australia,AU-AG
Admin ON - TT,5,,,ON,,CA,CA Central,,,53,,Transportation ON,CA-TT
Admin SK - TT,59,,,SK,,CA,CA West,,,593,,Transportation SK,CA-TT
All Territories,198,"","",NT,"",CA,CA West,61.1131,'-126.305,1981,"",Territories,CA-CF
Ayr - TT,7,7 Cochran Drive,Ayr,ON,N0B 1E0,CA,CA Central,43.337904620506,'-80.4315827206054,73,(519) 622-7799,Transportation ON,"CA-TT,CA-TT"
Baie-Comeau,168,"2014, avenue du Labrador",Baie-Comeau,QC,G4Z 3C1,CA,CA East,49.2114540949404,'-68.2334770282871,1681,"",Eastern Quebec,CA-CF
Ballarat,5,21 Airport Road,Ballarat,VIC,3355,AU,Australia,'-37.5177129455365,143.802151932564,57,03 5334 7555,Southwest Victoria,"AU-AG,AU-CF"
Barrie,154,35 Line 4 South RR#1,Oro-Medonte,ON,L0L 2L0,CA,CA Central,44.4591989752782,'-79.5798242506726,1541,"",South Central Ontario,CA-CF
Barrie - TT,17,3269 Thomas Street,Barrie,ON,L9S 3W5,CA,CA Central,44.2975121176537,'-79.6699231401633,173,(705) 431-7175,Transportation ON,"CA-TT,CA-TT"
Bassano - AG,312,Old Highway 1,Bassano,AB,T0J 0B0,CA,CA West,50.7884261110396,'-112.449787970539,3121,(403) 641-3813,Southern Alberta,CA-AG
Bathurst,141,3338 Route 134,Bathurst,NB,E8L 1T8,CA,CA East,47.5682155377417,'-65.5760203891648,1411,"",Atlantic Division,CA-CF
Belleville - TT,21,107b Bellevue Dr,Belleville,ON,K8N 4Z5,CA,CA Central,44.181464467478,'-77.4426271787895,213,,Transportation ON,"CA-TT,CA-TT"
Bordertown,16,3 Cleggett Rd,Bordertown,SA,5268,AU,Australia,'-36.3100926070515,140.739344771153,167,(08) 8750 1000,Southwest Victoria - CF,"AU-CF,AU-AG"
Brandon,999,1825 18th Street North,Brandon,MB,R7C 1A6,CA,CA West,49.8821092572112,'-99.9607397025477,9991,"",Saskatchewan / Manitoba Division,CA-CF
Brandt Finance,50,,,,,AU,Australia,,,507,,Corporate Services - AU,AU-AG
Brandt Finance,50,,,,,NZ,New Zealand,,,508,,Corporate Services - NZ,NZ-AG
Brandt Rentals,63,,,,,AU,Australia,,,637,,Corporate Services - AU,AU-AG
Brandt Rentals,63,,,,,NZ,New Zealand,,,638,,Corporate Services - NZ,"NZ-AG,NZ-AG"
Brooks - AG,311,Highway 873 North,Brooks,AB,T1R 1B7,CA,CA West,50.6003622505892,'-111.89527880549,3111,(403) 362-3486,Southern Alberta,CA-AG
Brossard,162,3855 Boul. Matte,Brossard,QC,J4Y 2Z2,CA,CA East,45.430751808941,'-73.4604048874172,1621,"",Western Quebec,CA-CF
BTRT Admin - TT,79,,,SK,,CA,CA West,,,793,,BTRT,CA-TT
BTRT Ayr - TT,83,7 Cochran Dr,Ayr,ON,N0B 1E0,CA,CA Central,43.3379124237905,'-80.43175438197,833,,BTRT,CA-TT
BTRT Barrie - TT,87,3269 Thomas St,Innisfil,ON,L9S 3W5,CA,CA Central,44.3011057502033,'-79.6528750285369,873,,BTRT,CA-TT
BTRT Calgary - TT,72,10121 Barlow Trail NE,Calgary,AB,T3J 3C6,CA,CA West,51.1457532587211,'-114.00258152093,723,,BTRT,CA-TT
BTRT Cardinal - TT,91,"2085 Shanly Road, 22",Cardinal,ON,K0E 1E0,CA,CA Central,44.8089770932362,'-75.4022809512222,913,,BTRT,CA-TT
BTRT Estevan - TT,78,1 Frontier Street,Estevan,SK,S4A 2K9,CA,CA West,49.1313492740113,'-102.922512306843,783,,BTRT,CA-TT
BTRT Grande Prairie - TT,74,7101 102 St,Clairmont,AB,T8X 5A7,CA,CA West,55.2321892218514,'-118.797935428239,743,,BTRT,CA-TT
BTRT Hagersville - TT,89,4011 Hwy 6,Hagersville,ON,N0A 1H0,CA,CA Central,42.9697006783453,'-80.0468223880923,893,,BTRT,CA-TT
BTRT Kamloops - TT,95,8110 Dallas Dr,Kamloops,BC,V2C 6X2,CA,CA West,50.6586725341969,'-120.112555331063,953,,BTRT,CA-TT
BTRT Lloydminster - TT,77,5201 40 Ave,Lloydminster,SK,S9V 2B5,CA,CA West,53.2846880895752,'-109.978601221618,773,,BTRT,CA-TT
BTRT London - TT,81,31 Buchanan Ct,London,ON,N5Z 4P9,CA,CA Central,42.936563745268,'-81.185861240237,813,,BTRT,CA-TT
BTRT Mississauga - TT,84,1257 Eglinton Ave E,Mississauga,ON,L4W 1K7,CA,CA Central,43.6335592017655,'-79.6242310509986,843,,BTRT,CA-TT
BTRT Nisku - TT,71,"",Nisku,AB,T9E 0W8,CA,CA West,53.3322213841446,'-113.543925241575,713,"",BTRT,CA-TT
BTRT North Bay - TT,82,3410 ON-11,North Bay,ON,P1B 8G3,CA,CA Central,46.3658165672648,'-79.4649804652492,823,,BTRT,CA-TT
BTRT Regina - TT,76,1507 Ross Ave E,Regina,SK,S4N 7E5,CA,CA West,50.4649525472451,'-104.563967139841,763,,BTRT,CA-TT
BTRT Rentals - TT,73,,,AB,,CA,CA West,,,733,,BTRT,CA-TT
BTRT Saskatoon - TT,75,303 50 St E,Saskatoon,SK,S7K 6C1,CA,CA West,52.1696885760275,'-106.666210583964,753,,BTRT,CA-TT
BTRT Stoney Creek - TT,86,924 S Service Rd,Stoney Creek,ON,L8E 6A2,CA,CA Central,43.2248112095752,'-79.6722671862343,863,,BTRT,CA-TT
BTRT Sudbury - TT,88,184 Fielding Rd,Lively,ON,P3Y 1L6,CA,CA Central,46.4367801200734,'-81.0980602205679,883,,BTRT,CA-TT
BTRT Vars - TT,92,275 Corduroy Rd,Vars,ON,K0A 3H0,CA,CA Central,45.3268828422475,'-75.3553399345757,923,,BTRT,CA-TT
BTRT Whitby - TT,85,1311 Hopkins St,Whitby,ON,L1N 2C2,CA,CA Central,43.8728102625788,'-78.9167198274256,853,,BTRT,CA-TT
Calgary,104,333 96 Ave Trail NE,Calgary,AB,T3K 0S3,CA,CA West,51.1401948380515,'-114.063802358309,1041,403-567-0339,Southern Alberta Division,CA-CF
